idna_subject,checker_type,destination,tested_at
adbmetrics.degustacastillayleon.es,AVAILABILITY,domains.list,2025-05-18 02:42:03.633531+00:00
sanalytics.boomerang-tv.hu,AVAILABILITY,domains.list,2025-05-18 02:42:14.709360+00:00
smetrics.nbi-sems.com,AVAILABILITY,domains.list,2025-05-18 02:42:15.286750+00:00
smetrics.citibank.co.id,AVAILABILITY,domains.list,2025-05-18 02:42:16.090326+00:00
smetrics.visitsingapore.com,AVAILABILITY,domains.list,2025-05-18 02:42:16.365034+00:00
adbmetrics.saloncomicdonostia.com,AVAILABILITY,domains.list,2025-05-18 02:42:17.261938+00:00
smetrics.shellenergy.co.uk,AVAILABILITY,domains.list,2025-05-18 02:42:18.813181+00:00
sanalytics.toonamiafrica.com,AVAILABILITY,domains.list,2025-05-18 02:42:29.535197+00:00
sanalytics.sprint.com,AVAILABILITY,domains.list,2025-05-18 02:42:29.726676+00:00
analytics.pogo.tv,AVAILABILITY,domains.list,2025-05-18 02:42:40.456770+00:00
sanalytics.boomeranggo.co.kr,AVAILABILITY,domains.list,2025-05-18 02:42:51.565877+00:00
smetrics.cars.com,AVAILABILITY,domains.list,2025-05-18 02:42:56.870878+00:00
smetrics.ellentube.com,AVAILABILITY,domains.list,2025-05-18 02:42:57.171049+00:00
smetrics.childrensplace.com,AVAILABILITY,domains.list,2025-05-18 02:42:57.420191+00:00
smetrics.airbank.cz,AVAILABILITY,domains.list,2025-05-18 02:43:01.075171+00:00
analytics.cibcholidaysforheroes.com,AVAILABILITY,domains.list,2025-05-18 02:43:01.335108+00:00
analytics.cibcrepitpournosheros.com,AVAILABILITY,domains.list,2025-05-18 02:43:01.574343+00:00
adbsmetrics.kiavirtualexperience.com,AVAILABILITY,domains.list,2025-05-18 02:43:01.835419+00:00
adbmetrics.canal-literatura.com,AVAILABILITY,domains.list,2025-05-18 02:43:02.657076+00:00
sanalytics.cartoonnetwork.com.tw,AVAILABILITY,domains.list,2025-05-18 02:43:13.053923+00:00
smetrics.bankia.es,AVAILABILITY,domains.list,2025-05-18 02:43:15.991126+00:00
metrics.pulte.com,AVAILABILITY,domains.list,2025-05-18 02:43:16.250793+00:00
smetrics.ftd.com,AVAILABILITY,domains.list,2025-05-18 02:43:16.674253+00:00
analytics.cinemax.tv,AVAILABILITY,domains.list,2025-05-18 02:43:16.920003+00:00
analytics.eleague.com,AVAILABILITY,domains.list,2025-05-18 02:43:17.200813+00:00
analytics.tnt.com.br,AVAILABILITY,domains.list,2025-05-18 02:43:17.566220+00:00
analytics.cnfanart.com,AVAILABILITY,domains.list,2025-05-18 02:43:28.412148+00:00
analytics.concorsicartoonito.it,AVAILABILITY,domains.list,2025-05-18 02:43:39.651022+00:00
sanalytics.cnfanart.com,AVAILABILITY,domains.list,2025-05-18 02:43:50.348859+00:00
